27,http://www.microsoftsharepoint.com/agenda/_vti_bin/People.asmx?wsdl,microsoftsharepoint.com,203.19.66.79,Australia,3407037007,AS9268 Over The Wire Pty Ltd,-27,133
144,http://www.webservices.etnic.be/ws_libelle/convert_libelle.wsdl,etnic.be,193.190.96.74,Belgium,3250479178,"AS2611 AS for BELNET, The Belgian National Research and Education Network",50.8333,4.3333
137,http://jure.juridat.just.fgov.be/PORTALSEARCH/PortalSearchWSSoapHttpPort?WSDL,fgov.be,193.191.245.4,Belgium,3250582788,"AS2611 AS for BELNET, The Belgian National Research and Education Network",50.8333,4
43,http://au.gamecreate.com/admin/ExternalAuthentication.asmx?WSDL,gamecreate.com,144.140.155.10,Australia,2425133834,AS1221 Telstra Pty Ltd,-27,133
190,http://www.bibliotecavirtualensalud.org/apps/basesws/index.php?wsdl,bibliotecavirtualensalud.org,null,Brazil,0,null,null,null
320,http://biomoby.org/services/wsdl/bioinfo.icapture.ubc.ca/BIND_IdSearchGetGOTermsByPfamId,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
121,http://www.bisc.by/blank/WEB.WebServ.CLS?WSDL=1,bisc.by,212.98.168.182,Belarus,3563235510,AS12406 Business network j.v.,53,28
265,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINFASTA2NEXUS,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
158,http://www.it-jobbank.co.uk/(A(QUnPf3I7XCdLYI5zAA44K-fQ2fl_9MR1yoaRY_lGCkUIBGbMs4gQe6BkO-dN0Lur9ViHHxr5PupUf1kyw3xbO3CRQS3TyJaeBPkLv8pIZ5U1))/WebServices/JobFeed.asmx?wsdl,it-jobbank.co.uk,81.246.117.104,Belgium,1375106408,AS5432 Belgacom regional ASN,50.8333,4
303,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINCODATA2FASTA,biordf.net,null,Canada,0,null,null,null
324,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNARefPIR2FASTA,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
276,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNARefMSF2FASTA,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
175,http://centros.bvsalud.org/webservices/index.php?wsdl,bvsalud.org,200.10.179.43,Brazil,3356144427,AS1251 Fundacao de Amparo a Pesquisa do Estado de Sao Pau,-23.4733,-46.6658
326,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINIG2FASTA,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
170,http://www.innovatti.com.br/_vti_bin/Lists.asmx?wsdl,innovatti.com.br,200.212.125.99,Brazil,3369368931,AS4230 Embratel,-10,-55
5,http://aquest.dyndns.org/CaptchaAudioWS/CaptchaAudio.asmx?WSDL,dyndns.org,204.13.248.116,United States,3423467636,"AS33517 Dynamic Network Services, Inc.",40.7904,-74.0246
